"count","seller","avg_review"
"41","b1ac6ea7895bc3dd6f0f6f4abbdd2821","4.3"
"63","cc63f0dd2acba93ffed4fe9f8e0321fa","4.0"
"15","c2d70ce2c5d0a2eb75e78668236e6dc8","4.7"
"60","e882b2a25a10b9c057cc49695f222c19","4.6"
"28","f41ce2e25237f9092cd8e6e7516c7a2f","4.3"
"16","33cbbec1e7e1044aaf11d152172c776f","4.7"
"44","6338ea67c41078a46ad99cc009654956","4.6"
"48","6b90f847357d8981edd79a1eb1bf0acb","4.4"
"26","c731d18cea9bf687ffee82a241c25b11","4.0"
"13","6d22a1fcebb6dd08c9cd90b92a93e8d0","4.3"
"32","916748bc99315c2d202898ae58b1617e","4.3"
"11","3d0cd21d41671c46f82cd11176bf7277","4.7"
"28","55d3daac7c404d59e51c2aa2f4dc5a23","3.9"
"20","ffff564a4f9085cd26170f4732393726","2.1"
"13","aac51c486b672a9850d59f3e84b1cf88","4.8"
"24","e21a1e8be4715b0fcfd5385643bc49c4","3.7"
"11","6bbcb8924baf70b7fe2fe2097e8cd407","4.5"
"14","49e7217cfe4e427191c378ec626d8737","3.9"
"41","bba74270a87732727b5a3b4fd9ac1c39","3.8"
"92","f3b80352b986ab4d1057a4b724be19d0","4.1"
"24","5c853bb56f70f4d14218944bae111d7a","4.0"
"15","f3c38ab652836d21de61fb8314b69182","4.3"
"63","d57e18d5f73c7ccb7f7339b61166898d","4.4"
"19","e7f3bf1ecd8526eb7f3b18059e6716e5","4.4"
"11","525e75a6fb1454a2325ab1734bcec221","3.7"
"53","3504c0cb71d7fa48d967e0e4c94d59d9","4.4"
"52","81f89e42267213cb94da7ddc301651da","3.5"
"15","88cf19ec1fc2c58f161aee259d57142c","4.5"
"12","457fe919b032a3f7dadba6fb92cf7855","4.8"
"11","b7ed9fb14c8eadb37adb9c45d67ab0fb","2.9"
"11","2d42ebcda99fd55f6f4bc2f1ca035d50","4.0"
"14","659e8466eb3ff1b0e8740d74fb7bbedd","4.5"
"15","26785a546900236d66f2e4197c211158","4.7"
"26","013900e863eace745d3ec7614cab5b1a","4.7"
"12","d1c7fa84e48cfa21a0e595167c1c500e","4.3"
"17","d4f117125b59ce73c3302f88ee40c458","4.8"
"13","a2fa0bdc798ee84cdb08281337cf4fb6","4.2"
"19","f5b44895715ddfe3087dc414f30268f3","4.0"
"19","a425f92c199eb576938df686728acd20","4.4"
"14","5b85809efd0d0e4dea1a9544e1280ed9","4.4"
"21","93b9a99027bd8bd6af682aff18dd19bf","4.1"
"21","b347677812ea483b0f528eaf8cbc09b7","4.5"
"26","b2a6d334e2833acea353624840e25a0e","4.5"
"14","3ca08eeb8d5595949fed424bd3677742","4.4"
"14","5b51032eddd242adc84c38acab88f23d","3.8"
"38","31561f325664a8a7aba4c8d0c3a9b3db","4.6"
"13","08d0949a9a17c027262db1f3c450c26c","3.5"
"11","d1b9d4be4b6f9ebd85f8acd6745ba612","4.2"
"17","9d5604a1f112324ad6b2aa552122e0fb","3.6"
"13","2d518637f53161b973e01f56ea4bb88e","4.9"
"56","eed78ac17f7f795a19a709745f00cd4e","3.4"
"15","c84592044b180dec206770c38603814b","4.2"
"26","334cab711dee080b079fa5779b584783","5.0"
"14","51702dc2a3e106c76dbff722b5bf0726","4.4"
"21","dfc475d54e1b6dbeeb7d7d9bdaa63827","4.4"
"13","1f867308a0ce13133a4e639ff4de0c02","4.5"
"12","49383af7ab774e4e8f3000f49c83dc4b","4.6"
