"seller_id","percentage_on_time","avg_review_score"
"f593898ec748b7a8cb81fc04edafd98a","0.83","3.5"
"8ca1551acf9832a4cf467bbbac15851f","0.83","3.7"
"b64d51f0435e884e8de603b1655155ae","0.83","4.1"
"ec8879960bd2221d5c32f8e12f7da711","0.83","4.3"
"2a61c271b1ac763450d846849783e922","0.83","3.7"
"b55638ad525e906c698fa2ce742c1742","0.83","4.2"
"d17f467e4bf608a510c20d82f4ba3b6b","0.83","4.0"
"cd68562d3f44870c08922d380acae552","0.83","3.8"
"11bfa66332777660bd0640ee84d47006","0.84","3.8"
"002100f778ceb8431b7a1020ff7ab48f","0.84","4.0"
"abe42c5d03695b4257b5c6cbf4e6784e","0.84","3.9"
"dd55f1bb788714a40e7954c3be6df745","0.84","3.8"
"88460e8ebdecbfecb5f9601833981930","0.84","3.4"
"9f50216bfd01913736a55a11b55ea842","0.84","4.5"
"d20b021d3efdf267a402c402a48ea64b","0.84","3.7"
"56642bcb79900e777d68e91915cb4267","0.84","3.8"
"3c03b12bab54d8b37d79d914bfdb1aa0","0.84","3.9"
"834f8533b2ecb6598dd004ff3de7203a","0.84","3.8"
"99a54764c341d5dc80b4a8fac4eba3fb","0.84","3.5"
"81336a0f57a33776419727a300249e90","0.84","3.7"
"2c9e548be18521d1c43cde1c582c6de8","0.84","3.9"
"8931a84a914b3fe9b1ddaa4d704947ca","0.84","3.8"
"e5a3438891c0bfdb9394643f95273d8e","0.84","3.8"
"15aac934c58d886785ac1b17953ea898","0.85","4.1"
"850913d59ce317156b00f3705f1c3edb","0.85","3.4"
"3b872fd4747f01cc56206f2934198618","0.85","3.9"
"36890be00bbfc1cdb9a4a38a6af05a69","0.85","4.2"
"8160255418d5aaa7dbdc9f4c64ebda44","0.85","3.8"
"d9e7e7778b32987280a6f2cb9a39c57d","0.85","3.2"
"b3b17aab11f273023a5f22ca52e1eb70","0.85","4.8"
"d93919c944be9cff128f6c9cb899eacb","0.85","4.0"
"89bc797e2e29667aa035d4368f9b7f92","0.85","3.8"
"c60b801f2d52c7f7f91de00870882a75","0.85","3.3"
"0bf0150d5b9d60d9cd2906003332f085","0.85","3.7"
"6ee85be3693ed79a8e80718743d80655","0.85","1.9"
"6973a06f484aacf400ece213dbf3d946","0.85","3.5"
"b74d1c09cb380e1d03a6f859c6f4224b","0.85","4.2"
"e96498ed8daaa3e9c23f7a62da76591c","0.85","3.9"
"099095b050cfe8eb1ddff5317587e96e","0.85","3.0"
"5b8154610ebb21fb90eb587365e673df","0.85","4.2"
"b561927807645834b59ef0d16ba55a24","0.85","4.3"
"13f57c12a00ed4610db646b913a7f5c6","0.85","4.8"
"bc07d855eac23aab5ac8a120f21d16b2","0.85","4.2"
"e62b2d6ac10570a035a30bafcf01d263","0.86","3.8"
"1ca7077d890b907f89be8c954a02686a","0.86","2.2"
"ffeee66ac5d5a62fe688b9d26f83f534","0.86","4.2"
"28f10b1c5e5abb9d4857745bede6147c","0.86","4.0"
"d97df38225e5abadaff1e72cb72b823c","0.86","3.9"
"a1474fd46fd3430168f7ec202da39408","0.86","4.4"
"2156f2671501a81034d7d07f217609d0","0.86","3.9"
"5b07547f10dd980738a1a27f685af669","0.86","4.5"
"f63d8f293af3a6454377546bd9dd19ff","0.86","3.8"
"05f51e13da97139648b8125c31e5f51b","0.86","4.1"
"7b1222c3624aa89b9558b50a2594188c","0.86","4.5"
"900ba814c251a692506d7834c1218441","0.86","4.2"
"6f229cc508fc6915ed5c499efd93baa4","0.86","4.4"
"432c37c9dfba871172ec162e20118b8c","0.86","4.2"
