,distance_km,days_late,review_score,product_weight_g
distance_km,1.0,-0.07961795127648122,-0.0516136617928671,-0.007146458564974754
days_late,-0.07961795127648122,1.0,-0.2044731060595909,0.01374891908960143
review_score,-0.0516136617928671,-0.2044731060595909,1.0,-0.024624668539659455
product_weight_g,-0.007146458564974754,0.01374891908960143,-0.024624668539659455,1.0
